values,metric,model,L,training_scheme,regression
0.00697743721226354,mse,har,1M,SAM,elastic
0.0101340318928973,mse,har_dummy_markets,1M,SAM,elastic
0.0160225723526546,mse,ar,1M,SAM,lasso
0.00696191676903771,mse,har,1M,SAM,lasso
0.00920236265495116,mse,har_dummy_markets,1M,SAM,lasso
0.0320272629121082,mse,ar,1M,SAM,linear
0.014238777107901,mse,har,1M,SAM,linear
0.00857788578156309,mse,har_dummy_markets,1M,SAM,linear
7.19472421198067e-06,mse,risk_metrics,1M,SAM,linear
0.0284509740417741,mse,ar,1M,SAM,ridge
0.00199523352977852,mse,har,1M,SAM,ridge
0.0212441433898587,mse,har_dummy_markets,1M,SAM,ridge
0.00629647535957299,mse,ar,1M,UAM,elastic
0.00340453808206728,mse,har,1M,UAM,elastic
0.00653267841288932,mse,har_dummy_markets,1M,UAM,elastic
1.48233914031894e-08,mse,risk_metrics,1M,UAM,elastic
0.00628915523492141,mse,ar,1M,UAM,lasso
0.00339282725662346,mse,har,1M,UAM,lasso
0.00626758267405277,mse,har_dummy_markets,1M,UAM,lasso
1.48209234242222e-08,mse,risk_metrics,1M,UAM,lasso
0.0123804839399204,mse,ar,1M,UAM,ridge
0.00977761178250545,mse,har,1M,UAM,ridge
0.00980145109965465,mse,har_dummy_markets,1M,UAM,ridge
1.47750843309416e-08,mse,risk_metrics,1M,UAM,ridge
