timestamp,values,metric,model,L,training_scheme,regression
2022-01-16 00:00:00+00:00,0.243191741592541,r2,ar,1D,SAM,linear
2022-01-16 00:00:00+00:00,0.298706514430013,r2,har,1D,SAM,linear
2022-01-16 00:00:00+00:00,0.0597936879206896,r2,har_dummy_markets,1D,SAM,linear
2022-01-16 00:00:00+00:00,-0.400270385780343,r2,risk_metrics,1D,SAM,linear
2022-01-16 00:00:00+00:00,0.670751380625643,r2,ar,1D,UAM,elastic
2022-01-16 00:00:00+00:00,0.852978890403147,r2,har,1D,UAM,elastic
2022-01-16 00:00:00+00:00,0.669474383834705,r2,ar,1D,UAM,lasso
2022-01-16 00:00:00+00:00,0.858790716635084,r2,har,1D,UAM,lasso
2022-01-16 00:00:00+00:00,0.0343870991583059,r2,ar,1D,UAM,ridge
2022-01-16 00:00:00+00:00,0.0559675364612674,r2,har,1D,UAM,ridge
2022-01-16 00:00:00+00:00,0.676483975764598,r2,ar,1W,ClustAM,elastic
2022-01-16 00:00:00+00:00,0.882318027146296,r2,har,1W,ClustAM,elastic
2022-01-16 00:00:00+00:00,0.663456616632938,r2,ar,1W,ClustAM,lasso
2022-01-16 00:00:00+00:00,0.879186015905276,r2,har,1W,ClustAM,lasso
2022-01-16 00:00:00+00:00,0.0560491356875582,r2,ar,1W,ClustAM,ridge
2022-01-16 00:00:00+00:00,0.134384096248533,r2,har,1W,ClustAM,ridge
2022-01-16 00:00:00+00:00,0.339223622120497,r2,ar,1W,SAM,linear
2022-01-16 00:00:00+00:00,0.793951727769084,r2,har,1W,SAM,linear
2022-01-16 00:00:00+00:00,0.804180109263984,r2,har_dummy_markets,1W,SAM,linear
2022-01-16 00:00:00+00:00,-0.400270385780343,r2,risk_metrics,1W,SAM,linear
2022-01-16 00:00:00+00:00,0.710978555555724,r2,ar,1W,UAM,elastic
2022-01-16 00:00:00+00:00,0.89472562601059,r2,har,1W,UAM,elastic
2022-01-16 00:00:00+00:00,0.711612306269758,r2,ar,1W,UAM,lasso
2022-01-16 00:00:00+00:00,0.895015878633992,r2,har,1W,UAM,lasso
2022-01-16 00:00:00+00:00,0.231684318420929,r2,ar,1W,UAM,ridge
2022-01-16 00:00:00+00:00,0.357802168220527,r2,har,1W,UAM,ridge
2022-01-16 00:00:00+00:00,-0.400270385780343,r2,risk_metrics,1M,SAM,linear
2022-01-16 00:00:00+00:00,0.0275498699334383,qlike,ar,1D,ClustAM,elastic
2022-01-16 00:00:00+00:00,0.0109954067510572,qlike,har,1D,ClustAM,elastic
2022-01-16 00:00:00+00:00,0.0274967691702794,qlike,ar,1D,ClustAM,lasso
2022-01-16 00:00:00+00:00,0.0101893025686643,qlike,har,1D,ClustAM,lasso
2022-01-16 00:00:00+00:00,0.0658577205458463,qlike,ar,1D,ClustAM,ridge
2022-01-16 00:00:00+00:00,0.0644629276899537,qlike,har,1D,ClustAM,ridge
2022-01-16 00:00:00+00:00,0.0482581768394886,qlike,ar,1D,SAM,linear
2022-01-16 00:00:00+00:00,0.421245389332756,qlike,har,1D,SAM,linear
2022-01-16 00:00:00+00:00,1.45390502615397,qlike,har_dummy_markets,1D,SAM,linear
2022-01-16 00:00:00+00:00,0.686501668023187,qlike,risk_metrics,1D,SAM,linear
2022-01-16 00:00:00+00:00,0.0233310297314533,qlike,ar,1D,UAM,elastic
2022-01-16 00:00:00+00:00,0.0114420954462435,qlike,har,1D,UAM,elastic
2022-01-16 00:00:00+00:00,0.0233800249312901,qlike,ar,1D,UAM,lasso
2022-01-16 00:00:00+00:00,0.0109821723935398,qlike,har,1D,UAM,lasso
2022-01-16 00:00:00+00:00,0.063796673603355,qlike,ar,1D,UAM,ridge
2022-01-16 00:00:00+00:00,0.062389264862671,qlike,har,1D,UAM,ridge
2022-01-16 00:00:00+00:00,0.0223268056513611,qlike,ar,1W,ClustAM,elastic
2022-01-16 00:00:00+00:00,0.00845297383181176,qlike,har,1W,ClustAM,elastic
2022-01-16 00:00:00+00:00,0.0245181673148627,qlike,ar,1W,ClustAM,lasso
2022-01-16 00:00:00+00:00,0.00862811970994011,qlike,har,1W,ClustAM,lasso
2022-01-16 00:00:00+00:00,0.0641645212084878,qlike,ar,1W,ClustAM,ridge
2022-01-16 00:00:00+00:00,0.0581919461281971,qlike,har,1W,ClustAM,ridge
2022-01-16 00:00:00+00:00,0.0445159623384274,qlike,ar,1W,SAM,linear
2022-01-16 00:00:00+00:00,0.0136770471717305,qlike,har,1W,SAM,linear
2022-01-16 00:00:00+00:00,0.0126183727971655,qlike,har_dummy_markets,1W,SAM,linear
2022-01-16 00:00:00+00:00,0.686501668023187,qlike,risk_metrics,1W,SAM,linear
2022-01-16 00:00:00+00:00,0.0208747632046449,qlike,ar,1W,UAM,elastic
2022-01-16 00:00:00+00:00,0.00769556442555611,qlike,har,1W,UAM,elastic
2022-01-16 00:00:00+00:00,0.020825183366587,qlike,ar,1W,UAM,lasso
2022-01-16 00:00:00+00:00,0.00767827345244419,qlike,har,1W,UAM,lasso
2022-01-16 00:00:00+00:00,0.0534864205103998,qlike,ar,1W,UAM,ridge
2022-01-16 00:00:00+00:00,0.0453277839905131,qlike,har,1W,UAM,ridge
2022-01-16 00:00:00+00:00,0.686501668023187,qlike,risk_metrics,1M,SAM,linear
2022-01-16 00:00:00+00:00,1.52865532017643e-05,mse,ar,1D,ClustAM,elastic
2022-01-16 00:00:00+00:00,5.32669304570813e-06,mse,har,1D,ClustAM,elastic
2022-01-16 00:00:00+00:00,1.55729330635493e-05,mse,ar,1D,ClustAM,lasso
2022-01-16 00:00:00+00:00,5.06475581887521e-06,mse,har,1D,ClustAM,lasso
2022-01-16 00:00:00+00:00,3.33584839020685e-05,mse,ar,1D,ClustAM,ridge
2022-01-16 00:00:00+00:00,3.30671580775944e-05,mse,har,1D,ClustAM,ridge
2022-01-16 00:00:00+00:00,2.39075978078771e-05,mse,ar,1D,SAM,linear
2022-01-16 00:00:00+00:00,1.90854353841249e-05,mse,har,1D,SAM,linear
2022-01-16 00:00:00+00:00,2.86147946324312e-05,mse,har_dummy_markets,1D,SAM,linear
2022-01-16 00:00:00+00:00,2.57411966260403e-09,mse,risk_metrics,1D,SAM,linear
2022-01-16 00:00:00+00:00,1.19512757365521e-05,mse,ar,1D,UAM,elastic
2022-01-16 00:00:00+00:00,4.65884204178899e-06,mse,har,1D,UAM,elastic
2022-01-16 00:00:00+00:00,1.2021070212197e-05,mse,ar,1D,UAM,lasso
2022-01-16 00:00:00+00:00,4.47445845410197e-06,mse,har,1D,UAM,lasso
2022-01-16 00:00:00+00:00,2.97949963907509e-05,mse,ar,1D,UAM,ridge
2022-01-16 00:00:00+00:00,2.91881082144931e-05,mse,har,1D,UAM,ridge
2022-01-16 00:00:00+00:00,1.19590334963701e-05,mse,ar,1W,ClustAM,elastic
2022-01-16 00:00:00+00:00,4.03569609372275e-06,mse,har,1W,ClustAM,elastic
2022-01-16 00:00:00+00:00,1.18597436078776e-05,mse,ar,1W,ClustAM,lasso
2022-01-16 00:00:00+00:00,4.09754708628385e-06,mse,har,1W,ClustAM,lasso
2022-01-16 00:00:00+00:00,3.14864034295349e-05,mse,ar,1W,ClustAM,ridge
2022-01-16 00:00:00+00:00,2.85898763204825e-05,mse,har,1W,ClustAM,ridge
2022-01-16 00:00:00+00:00,2.14022836471217e-05,mse,ar,1W,SAM,linear
2022-01-16 00:00:00+00:00,6.41089961710533e-06,mse,har,1W,SAM,linear
2022-01-16 00:00:00+00:00,6.08525746727049e-06,mse,har_dummy_markets,1W,SAM,linear
2022-01-16 00:00:00+00:00,2.57411966260403e-09,mse,risk_metrics,1W,SAM,linear
2022-01-16 00:00:00+00:00,1.04337751238169e-05,mse,ar,1W,UAM,elastic
2022-01-16 00:00:00+00:00,3.49871192158557e-06,mse,har,1W,UAM,elastic
2022-01-16 00:00:00+00:00,1.04045801237445e-05,mse,ar,1W,UAM,lasso
2022-01-16 00:00:00+00:00,3.49556479904047e-06,mse,har,1W,UAM,lasso
2022-01-16 00:00:00+00:00,2.57250779942307e-05,mse,ar,1W,UAM,ridge
2022-01-16 00:00:00+00:00,2.18737638141009e-05,mse,har,1W,UAM,ridge
2022-01-16 00:00:00+00:00,2.57411966260403e-09,mse,risk_metrics,1M,SAM,linear
2022-01-23 00:00:00+00:00,0.805610711799499,r2,ar,1D,ClustAM,elastic
2022-01-23 00:00:00+00:00,0.914093121842063,r2,har,1D,ClustAM,elastic
2022-01-23 00:00:00+00:00,0.809117183936222,r2,ar,1D,ClustAM,lasso
2022-01-23 00:00:00+00:00,0.915915964323884,r2,har,1D,ClustAM,lasso
2022-01-23 00:00:00+00:00,0.0281850442524187,r2,ar,1D,ClustAM,ridge
2022-01-23 00:00:00+00:00,0.0588365562112244,r2,har,1D,ClustAM,ridge
2022-01-23 00:00:00+00:00,0.377614494978767,r2,ar,1D,SAM,linear
2022-01-23 00:00:00+00:00,0.731090096296051,r2,har,1D,SAM,linear
2022-01-23 00:00:00+00:00,0.401535456438653,r2,har_dummy_markets,1D,SAM,linear
2022-01-23 00:00:00+00:00,-0.694353408650777,r2,risk_metrics,1D,SAM,linear
2022-01-23 00:00:00+00:00,0.821444856695834,r2,ar,1D,UAM,elastic
2022-01-23 00:00:00+00:00,0.90512844907125,r2,har,1D,UAM,elastic
2022-01-23 00:00:00+00:00,0.819627897071875,r2,ar,1D,UAM,lasso
2022-01-23 00:00:00+00:00,0.912282837583833,r2,har,1D,UAM,lasso
2022-01-23 00:00:00+00:00,0.0867633422369162,r2,ar,1D,UAM,ridge
2022-01-23 00:00:00+00:00,0.130805257631258,r2,har,1D,UAM,ridge
2022-01-23 00:00:00+00:00,0.820697901251773,r2,ar,1W,ClustAM,elastic
2022-01-23 00:00:00+00:00,0.939017971670017,r2,har,1W,ClustAM,elastic
2022-01-23 00:00:00+00:00,0.830976611895501,r2,ar,1W,ClustAM,lasso
2022-01-23 00:00:00+00:00,0.937142830007,r2,har,1W,ClustAM,lasso
2022-01-23 00:00:00+00:00,-0.000823809239224384,r2,ar,1W,ClustAM,ridge
2022-01-23 00:00:00+00:00,0.147435821812619,r2,har,1W,ClustAM,ridge
2022-01-23 00:00:00+00:00,0.36038737827817,r2,ar,1W,SAM,linear
2022-01-23 00:00:00+00:00,0.853222031418218,r2,har,1W,SAM,linear
2022-01-23 00:00:00+00:00,0.865167278070882,r2,har_dummy_markets,1W,SAM,linear
2022-01-23 00:00:00+00:00,-0.694353408650777,r2,risk_metrics,1W,SAM,linear
2022-01-23 00:00:00+00:00,0.83790482783752,r2,ar,1W,UAM,elastic
2022-01-23 00:00:00+00:00,0.945746110368243,r2,har,1W,UAM,elastic
2022-01-23 00:00:00+00:00,0.838064551499071,r2,ar,1W,UAM,lasso
2022-01-23 00:00:00+00:00,0.945894547841691,r2,har,1W,UAM,lasso
2022-01-23 00:00:00+00:00,0.235694152847429,r2,ar,1W,UAM,ridge
2022-01-23 00:00:00+00:00,0.439769350610452,r2,har,1W,UAM,ridge
2022-01-23 00:00:00+00:00,-0.694353408650777,r2,risk_metrics,1M,SAM,linear
2022-01-23 00:00:00+00:00,0.0191852236731846,qlike,ar,1D,ClustAM,elastic
2022-01-23 00:00:00+00:00,0.00863602807516847,qlike,har,1D,ClustAM,elastic
2022-01-23 00:00:00+00:00,0.0185563507587809,qlike,ar,1D,ClustAM,lasso
2022-01-23 00:00:00+00:00,0.00785617973216986,qlike,har,1D,ClustAM,lasso
